rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, likely causing slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 698 KB of HTML.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_heavy_third_party_script_load.html
2,Email capture lacks visible labels,MEDIUM,Product Page,Low,0.5-2 days,4,10,no,conversion,"Email signup forms without visible labels create ambiguity and friction, reducing form completion.","Email signup forms without visible labels create ambiguity and friction, reducing form completion.",cta: Sign Up / Get Notified; notes: Add visible labels like 'Email address' to all email input fields.,form: inputs=1 submit=Sign Up labels=[] | form: inputs=1 submit=Get Notified labels=['Email'],Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_email_capture_lacks_visible_labels.html
3,Get Notified form label inconsistency,MEDIUM,Product Page,Low,0.5-2 days,4,10,no,conversion,Inconsistent labeling between 'Get Notified' and 'Sign Up' forms on the same page confuses users and undermines trust.,Inconsistent labeling between 'Get Notified' and 'Sign Up' forms on the same page confuses users and undermines trust.,cta: Get Notified / Sign Up; notes: Standardize form labeling across all email capture forms.,form: inputs=1 submit=Get Notified labels=['Email'] | form: inputs=1 submit=Sign Up labels=[],Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_get_notified_form_label_inconsistency.html
4,Product price visibility unclear,MEDIUM,Product Page,Low,0.5-2 days,4,10,no,conversion,Multiple price values without clear association to the selected item confuse visitors about the actual cost.,Multiple price values without clear association to the selected item confuse visitors about the actual cost.,notes: Clearly label primary product price and separate from shipping or other costs.,$100 $5.00 $105 $105 $105 $100,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_product_price_visibility_unclear.html
5,Filter form lacks submit context,MEDIUM,/Collections/Shop-All-26,Low,0.5-2 days,3,10,no,conversion,"Filter form with many inputs but no visible submit button leaves users unsure how to apply selections, causing abandonment.","Filter form with many inputs but no visible submit button leaves users unsure how to apply selections, causing abandonment.",cta: Apply / Done; notes: Add a clearly labeled 'Apply' or 'Done' button to the filter form.,"form: inputs=97 submit= labels=['Featured', 'Most relevant', 'Best selling', 'Alphabetically, A-Z', 'Alphabetically, Z-A', 'Price, low to high', 'Price, high to low', 'Date, old to new', 'Date, new to old', 'XS']",Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_filter_form_lacks_submit_context.html
6,Shipping threshold not prominent,MEDIUM,All Pages,Low,0.5-2 days,3,10,no,conversion,"Free shipping threshold is only in small copy, not near prices or decision points, leading to late-stage cost surprises.","Free shipping threshold is only in small copy, not near prices or decision points, leading to late-stage cost surprises.",notes: Display free shipping threshold prominently near product prices and in cart.,Free ground shipping on orders over $100,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_shipping_threshold_not_prominent.html
7,Late shipping delay disclosure,MEDIUM,All Pages,Low,0.5-2 days,3,10,no,trust,"Shipping delay notice appears only in small page copy, discovered too late in the browsing journey, causing frustration.","Shipping delay notice appears only in small page copy, discovered too late in the browsing journey, causing frustration.","notes: Surface shipping delay notice earlier, e.g., on product pages near add-to-cart.","Due to increased demand, orders may take up to 30 days to ship.",Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_late_shipping_delay_disclosure.html
8,Unlabeled interactive controls,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons have no accessible name, making them unusable for screen reader and voice control users.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_controls_without_accessible_names.html
9,Images missing alternative text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 3 of 43 <img> elements have no alt attribute.,Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_images_missing_alternative_text.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_10_controls_without_accessible_names.html
